date,hs_code,product_description,qty,unit,unit_rate_usd,value_usd,currency_detected,unit_rate_norm_usd,value_norm_usd,origin_country,dest_country,source_file
2025-06-12,8419501000,".#&Cooling Tower   (Cooling Tower)   , Model Kdc-D3670A-Glu-C2 , Used In Industry , No Electronic Circuit Board , No Peripheral Devices , Voltage 380V , Capacity 766Rt , 100% New , Unit Price: 2458333000 Vnd",1.0,UNT,95099.92263,95099.92263,vnd,3.96249677625,3.96249677625,China,Vietnam,84195010 (1).xlsx
2025-06-12,8419501000,".#&Cooling Tower   (Cooling Tower)   , Model Kdc-D3670A-Glu-C5 , Used In Industry , No Electronic Circuit Board , No Peripheral Devices , Voltage 380V , Capacity 1915Rt , Unit Price: 6145833500 Vnd",1.0,UNT,237749.84526,237749.84526,vnd,9.9062435525,9.9062435525,China,Vietnam,84195010 (1).xlsx
2024-09-25,84195010,"Cooling Tower, Lvn-5150-C3  (S)  , To Cool The Inside Of The Factory And The Air Conditioning System, Cooling Capacity 4,395,000Kcal-H, Fan Motor: 15Hp, 50Hz-380V, Liangchi Brand, Manufacturer: 2023, Price: 1,097,649,300Vnd#&Vn",1.0,PCE,1097649300.0,1097649300.0,vnd,45735.3875,45735.3875,Vietnam,Vietnam,84195010 (1).xlsx
2024-09-12,84195010,"Cooling Tower ,  Model: Lncm-250 ,  Electric ,  Used In Factories ,  Capacity 22Kw ,  Voltage 380V ,  Brand Liang Chi ,  Unit Price 2 , 489 , 782 , 223 Vnd-Pce#&Cn",2.0,PCE,2489782223.0,4979564446.0,vnd,103740.92595833333,207481.85191666667,Vietnam,Vietnam,84195010 (1).xlsx
2024-09-10,84195010,"Cooling Tower ,  Model Lyt-20 ,  Voltage 380V-0.55Kw ,  Manufacturer: Lingyan Jidan. 100% New#&Cn",1.0,PCE,12222000.0,12222000.0,vnd,509.25,509.25,Vietnam,Vietnam,84195010 (1).xlsx
2024-10-28,84195010,"Industrial Water Chiller Cvhg1100 ,  Capacity: 757.5 Kw- 10000V- 50Hz ,  Water Temperature: 7-12 Degrees ,  Brand: Trane. Unit Price: 10 , 572 , 027 , 120 Vnd#&Cn",1.0,PCE,422712.0,422712.0,vnd,17.613,17.613,Vietnam,Vietnam,84195010 (1).xlsx
2024-09-09,84195010,"Mm-P99224002096#&Closed Type Cooling Tower H-Square At-01~02Ll:65M3-H , Water Inlet-Outlet Temperature: 42-32 Degrees C , Wet Bulb Air Inlet Temperature:29 Degrees C , 3 Phase-380V-50Hz , To Reduce The Temperature Of Water Flow In Hvac System",1.0,PCE,186960000.0,186960000.0,vnd,7790.0,7790.0,Vietnam,Vietnam,84195010 (1).xlsx
2024-11-19,84195010,"Thap#&Cooling Tower For Cooling In Factories , Model Rt-150L , 380V , 5.5Kw , No Brand , Manufacturer: Shen Zhen Zhizhi Evergreen Technology Co. , Ltd , Year 2024. 100% New-Unit Price 4 , 155 , 659 , 718 Vnd",2.0,SET,164907.13166,329814.26332,vnd,6.8711304858333335,13.742260971666667,China,Vietnam,84195010 (1).xlsx
2025-03-26,8419501000,"Lrc-N-350-C4  (S)   Cooling Tower , Function: Water Cooling , Voltage: 380V , 3 Phase , 50Hz , Disassembled Synchronous Goods , Nh: Liang Chi , Sn: 20250320-07 , Unit Price: 1 , 027 , 000 , 000 Vnd , 100% New , Manufactured In 2025",1.0,SET,40464.93301,40464.93301,vnd,1.6860388754166666,1.6860388754166666,Vietnam,Vietnam,84195010 (1).xlsx
2024-12-27,84195010,"Cooling Tower Nhp-500-2 Cooling Tower-101A-B-C Cooling Tower-101A-B-C.Cs 1000Rt , Supports Reducing The Heat Of Machinery During The Production Process , Based On The Evaporation Of Water   (Unit Price: 1 , 292 , 102 , 000 Vnd)  #&Kr",2.0,SET,51235.25913,102470.51826,vnd,2.13480246375,4.2696049275,Vietnam,Vietnam,84195010 (1).xlsx
2024-09-18,84195010,"Cooling Tower - Cooling Tower ,  Item Code: Tcs 600C-2B ,  Power: 2 X 7.5 Kw ,  Unit Price: 704 , 660 , 100 Vnd-Set#&My",2.0,SET,704660100.0,1409320200.0,vnd,29360.8375,58721.675,Vietnam,Vietnam,84195010 (1).xlsx
2024-09-12,84195010,"Cooling Tower ,  Model: Lncm-250 ,  Electric ,  Used In Factories ,  Capacity 22Kw ,  Voltage 380V ,  Brand Liang Chi ,  Unit Price 2 , 489 , 782 , 223 Vnd-Pce#&Cn",2.0,PCE,2489782223.0,4979564446.0,vnd,103740.92595833333,207481.85191666667,Vietnam,Vietnam,84195010 (1).xlsx
2024-09-09,84195010,"Cooling Tower Model: Lbc-50Rt ,  Power Source: 380V-50Hz ,  Cooling Capacity: 50 Rt ,  Manufacturer: Liang Chi ,  Cooling For Machinery ,  Equipment ,  Indoor Environment ,  Air Conditioning System... 100% New",2.0,PCE,37334000.0,74668000.0,vnd,1555.5833333333333,3111.1666666666665,Vietnam,Vietnam,84195010 (1).xlsx
2024-09-24,84195010,"Vt-240902#&Cooling Tower ,  Model Lhr-300Lx2 ,  C-S: 11X2 Kw ,  Voltage 380V-50Hz ,  Exhaust Fan Diamtr: 2800 Mm. Air Flow: 300X2M3-H ,  Brand Linghuo. 100% New",2.0,PCE,374948000.0,749896000.0,vnd,15622.833333333334,31245.666666666668,China,Vietnam,84195010 (1).xlsx
2024-09-11,84195010,"Cooling Tower ,  Model Lyt-20 ,  Voltage 380V-0.55Kw ,  Manufacturer: Lingyan Jidan. Year Of Manufacture 2024 ,  100% New",1.0,PCE,12222000.0,12222000.0,vnd,509.25,509.25,China,Vietnam,84195010 (1).xlsx
2024-12-09,84195010,"Cooling Tower Lrc-N-800-C2  (S)   , Sn: 20241202-01 , Function: Water Cooling , 380V , 3 Phase , 50Hz; Nh: Liang Chi ,  , Manufactured In 2024 , Inv. Price: 1 , 555 , 000 , 000 Vnd",1.0,SET,61659.85962,61659.85962,vnd,2.5691608175000002,2.5691608175000002,Vietnam,Vietnam,84195010 (1).xlsx
2025-03-11,84195010,"Cooling Tower;   (Cooling Tower For Chiller System)   Model: Lvn-5250-C3  (S)   , Brand: Liangchi , Response: 380V-18.5 Kw , Manufactured: 2025 , Used In Year , 100% New   (1Set=1Pce)   , Unit Price 1 , 304 , 380 , 000 Vnd",2.0,SET,51394.01103,102788.02206,vnd,2.14141712625,4.2828342525,Vietnam,Vietnam,84195010 (1).xlsx
2024-09-05,84195010,"Square Closed Type Cooling Tower At-01~02Ll: 65M3-H ,  Water Inlet-Outlet Temperature: 42-32 Degrees C ,  Wet Air Inlet Temperature: 29 Degrees C ,  3 Phase-380V-50Hz ,  Used To Reduce The Temperature Of Water Flow In Hvac System#&Vn",1.0,PCE,186960000.0,186960000.0,vnd,7790.0,7790.0,Vietnam,Vietnam,84195010 (1).xlsx
2024-09-18,84195010,"Cooling Tower Model: Glx-200T ,  Voltage 380V ,  Capacity 7.5Kw ,  Brand: Guang Lin ,  Year Of Manufacture 2024 ,  Pvc Plastic Heat Sink ,  Used To Cool Water For Central Air Conditioning System. 100% New.#&Cn",1.0,SET,292475000.0,292475000.0,vnd,12186.458333333334,12186.458333333334,Vietnam,Vietnam,84195010 (1).xlsx
