origin_country,dest_country,value_norm_usd
Malaysia,Saudi Arabia,313527.22
Malaysia,South Africa,4932.09
Malaysia,Thailand,601567.33
Malaysia,Uganda,6036.0
Malaysia,United Arab Emirates,4052205.89
Malaysia,United States,4544349.7
Malaysia,Vietnam,3041718.910286667
Mexico,Brazil,4707613.61
Mexico,Canada,745943.0
Mexico,India,186235.84
Mexico,Indonesia,2810.8100000000004
Mexico,Malaysia,760421.46
Mexico,Philippines,709.4
Mexico,United Arab Emirates,196866.5
Mexico,United States,9129302.49
Morocco,United States,0.0
Netherlands,Brazil,9656.84
Netherlands,Ghana,5276.848
Netherlands,Kenya,27524.47
Netherlands,Malaysia,139244.7
Netherlands,Philippines,1123.9
Netherlands,United States,0.0
Netherlands,Vietnam,105599.18068
New Zealand,Vietnam,1949.71683
Nigeria,Nigeria,2011515.401
Nigeria,South Sudan,5528.32
Norway,Brazil,10392.0
Norway,Vietnam,43918.70192
Oman,United States,0.0
Pakistan,Malaysia,218.5
Pakistan,United Arab Emirates,8015.48
Panama,United States,25065.4
Peru,United States,928.56
Philippines,Brazil,55.0
Philippines,Malaysia,26400.0
Philippines,Qatar,10000.0
Philippines,Thailand,225000.0
Philippines,United Arab Emirates,10000.0
Philippines,Vietnam,45000.0
Poland,Brazil,116152.89
Poland,Malaysia,22115.84
Poland,Vietnam,231847.27181
Portugal,Uganda,133071.35
Portugal,Vietnam,254247.25770999998
Romania,Brazil,51652.16
Romania,Indonesia,15515.16
Romania,Malaysia,230.93
Russia,Brazil,17.0
Russia,India,4269.65
Rwanda,Kenya,171710.78
Singapore,Brazil,14456.91
Singapore,Indonesia,1748076.1099999999
Singapore,Malaysia,3246622.35
Singapore,Philippines,3335.5
Singapore,United States,0.0
Singapore,Vietnam,17318.23506
Slovakia,Brazil,345382.61
Slovakia,Vietnam,22764.481099999997
Slovenia,Brazil,2076.0
Slovenia,Philippines,6411.83
South Africa,Ghana,81.827
South Korea,Brazil,1444312.02
South Korea,Ghana,5448.024
South Korea,Indonesia,622447.31
South Korea,Nigeria,638.856
South Korea,Philippines,15621.220000000001
South Korea,United States,0.0
South Korea,Vietnam,2483667.5919249277
Spain,Brazil,4351900.04
Spain,Indonesia,845.11
Spain,Uganda,412367.27
Spain,United States,0.0
Spain,Vietnam,23752.346879999997
Sri Lanka,United States,0.0
Swaziland,Brazil,37946.32
Sweden,Brazil,1840596.02
Sweden,Indonesia,7994.13
Sweden,Malaysia,4757.84
Switzerland,Brazil,57993.46
Switzerland,Indonesia,60814.0
Taiwan,Brazil,1074184.63
Taiwan,Indonesia,53486.59
Taiwan,Malaysia,237874.48
Taiwan,Philippines,763.5
Taiwan,Uganda,573.0
Taiwan,Vietnam,161863.04806
Thailand,Brazil,966933.24
Thailand,Indonesia,1026046.23
Thailand,Malaysia,191001.80000000002
Thailand,Philippines,26373.0
Thailand,United States,0.0
Thailand,Vietnam,97564.45999999999
Trinidad and Tobago,United States,0.0
Turkey,Botswana,224.16
Turkey,Brazil,209402.23
Turkey,Ghana,112090.84300000001
Turkey,India,60376.23
Turkey,Kenya,636937.32
Turkey,Malaysia,12905.199999999999
Turkey,Namibia,8550.0
Turkey,Nigeria,10038925.433
Turkey,Oman,395192.67
Turkey,Qatar,191155.52
Turkey,Saudi Arabia,395089.8
Turkey,Senegal,168889.21000000002
Turkey,South Africa,548483.28
Turkey,South Sudan,28053.819
Turkey,Uganda,22752.1
Turkey,United Arab Emirates,788040.35
Turkey,United States,1188409.47
Turkey,Vietnam,54908.932570000004
United Arab Emirates,Kenya,55845.090000000004
United Arab Emirates,Nigeria,1524399.736
United Arab Emirates,South Sudan,1027.461
United Arab Emirates,Uganda,35290.31
United Kingdom,Brazil,6199149.85
United Kingdom,Ghana,224662.92600000004
United Kingdom,India,21073.489999999998
United Kingdom,Indonesia,21847.620000000003
United Kingdom,Kenya,168.7
United Kingdom,Malaysia,93353.7
United Kingdom,Namibia,108467.73
United Kingdom,Philippines,245626.65
United Kingdom,United States,0.0
United Kingdom,Vietnam,83489.85651
United States,Brazil,10390614.12
United States,Ghana,8578.423
United States,India,5671901.14
United States,Indonesia,19286607.52
United States,Kenya,7597.83
United States,Malaysia,6341073.489999999
United States,Nigeria,20219.154
United States,Philippines,2648.3
United States,South Sudan,187185.27000000002
United States,Uganda,792.44
United States,Vietnam,1042830.35606
Uruguay,Brazil,7.0
Vietnam,Brazil,1003.0
Vietnam,Canada,850.26272
Vietnam,India,57000.0
Vietnam,Indonesia,2288351.93
Vietnam,Malaysia,923258.55
Vietnam,Philippines,8860.0
Vietnam,Thailand,27180.0
Vietnam,United Arab Emirates,120000.0
Vietnam,United States,1424482.8800000001
Vietnam,Vietnam,147968642.83403704
