origin_country,dest_country,value_usd
Turkey,United Arab Emirates,788040.35
Turkey,United States,1188409.47
Turkey,Vietnam,54908.932570000004
United Arab Emirates,Kenya,55845.090000000004
United Arab Emirates,Nigeria,1524399.736
United Arab Emirates,South Sudan,1027.461
United Arab Emirates,Uganda,35290.31
United Kingdom,Ghana,224662.92600000004
United Kingdom,India,21073.489999999998
United Kingdom,Kenya,168.7
United Kingdom,Namibia,108467.73
United Kingdom,Philippines,245626.65
United Kingdom,Vietnam,83489.85651
United States,Ghana,8578.423
United States,India,5671901.14
United States,Kenya,7597.83
United States,Malaysia,15302.39
United States,Nigeria,20219.154
United States,Philippines,2648.3
United States,South Sudan,187185.27000000002
United States,Uganda,792.44
United States,Vietnam,1042354.39606
Vietnam,Canada,850.26272
Vietnam,India,57000.0
Vietnam,Malaysia,922753.55
Vietnam,Philippines,8860.0
Vietnam,Thailand,27180.0
Vietnam,United Arab Emirates,120000.0
Vietnam,United States,787812.22
Vietnam,Vietnam,12597350.38371
