dest_country,consignee,value_usd
Uganda,Ss Royal Life General Trading Co Ltd,14086.61
Uganda,Hrp Services Ltd.,8174.610000000001
Uganda,Sinopec International Petroleum Service Co. Uganda Ltd.,8039.0
Uganda,Wagagai Mining U Ltd,7136.04
Uganda,Hema Beverages Ltd,7000.0
Uganda,Royal Gas Energies,6300.0
Uganda,Oil Palm Uganda Ltd,6036.0
Uganda,Dragon And Pheonix Electronic Technology Co Ltd,4393.56
Uganda,Sodashi Investments Ltd.,3228.0
Uganda,Ministry Of Finance Planning And Economic Development Kampala Kampala Central Divi Kampala Central Division Kampala Apollo Kagwa Road Finance Building 2 12 2 12 Kampala,2303.53
Uganda,Dong Fang Glasswork U Ltd,2019.0
Uganda,Winplast Industries Ltd,1751.0
Uganda,Jibu Corporate Ug Limited Kampala Nakawa Division Nakawa D Kamwokya Near Kamwokya Market Malaika Buil 989 26741 Kampala,1365.0
Uganda,Ezgiamin General Tradnig Co. Ltd.,1080.07
Uganda,Dreamers Manufacturing Company Smc Ltd,889.0
Uganda,Landy Industries Ltd,574.88
Uganda,Skenya Motors U Limited Kampala Nakawa Division Nakawa D Luzira Luzira Commercial Park 2490 2490 Kampala,515.0999999999999
Uganda,Castle Industries Co. Ltd.,390.0
Uganda,Sadeem Al Kuwait General Trading And Contracting Company,334.0
Uganda,Dott Services Ltd,300.0
Uganda,Cafe Javas Ltd,274.43
Uganda,Sunafric Industries Limited Kampala Kampala Central Divi Kam Nakasero Iiiwilliam Street Kampala William Street Equatoria Building Plot 37 85535 Kampala,264.65
Uganda,Z To Order And Na,45.0
Uganda,Bwindi Community Hospital,0.44
United Arab Emirates,Arabian Industrial Gases Co,1450212.08
United Arab Emirates,Brothers Gas Bottling Distributio,579102.99
United Arab Emirates,Emirates Industrial Gases Company Llc,378894.91000000003
United Arab Emirates,Oegu Middle East Llc,263878.0
United Arab Emirates,Controls Electrics System Manufac Turing Ltd,226104.78
United Arab Emirates,Arabian Industrial Gases Company,212474.2
United Arab Emirates,3A Cryogenic Fze,189562.08
United Arab Emirates,Rawmat Metal Alloys Trading Co Llc,148773.34
United Arab Emirates,Al Dharis Specialized Pipes Fitting,115439.48000000001
United Arab Emirates,Global Gases Group Fze,115394.11
United Arab Emirates,Sprint Oil And Gas Services Fzc,112000.0
United Arab Emirates,New Gaz Limited Liability Company Llc,89600.0
United Arab Emirates,Brothers Gas Bottling Distribution Co Llc,86176.50200000001
United Arab Emirates,Technogas Equipments Est.,81427.02
United Arab Emirates,Arabian Industrial Gases Company Llc,78842.0
United Arab Emirates,Salem Industry Llc,75500.0
United Arab Emirates,Air Products (Middle East) Fze,73253.2
United Arab Emirates,Gulf Industrial Gases Co Llc,69448.0
United Arab Emirates,Unique System Llc,67529.67
United Arab Emirates,Hemayah Gas Distribution Contracting L L C,63000.0
United Arab Emirates,Brothers Gas Bottling & Distribution Co. Llc,52309.74
United Arab Emirates,Emirates Nbd Bank P J S C,43900.02
United Arab Emirates,Air Care Ltd.,41200.0
United Arab Emirates,Emirates Industrial Gases Co Llc,37813.22
United Arab Emirates,Gujarat Flourochemicals Fze,37314.72
United Arab Emirates,Universal Beverages Factory Llc,34606.9
United Arab Emirates,Safety Gas Dist House Gas Distribution Llc,30900.0
United Arab Emirates,Nils Abbas Co Llc,29536.0
United Arab Emirates,Air Products Middle East Fze,26139.62
United Arab Emirates,Kanoo Machinery Llc,23590.0
United Arab Emirates,Mechatronics Industrial Equipment Llc,22255.0
United Arab Emirates,Italco Middle East Fze,21710.0
United Arab Emirates,Thermal Energia System Trading Llc,20589.19
United Arab Emirates,Egme Dmcc,18690.0
United Arab Emirates,Indogulf Central Gas Distribution Networks,16000.0
United Arab Emirates,Petro Tek General Trading Llc,14980.0
United Arab Emirates,Gazpro Fzc,14933.939999999999
United Arab Emirates,Atlas Copco Services Sro,14125.43
United Arab Emirates,Naser Al Sayer Co L L C,11766.59
United Arab Emirates,Brothers Gas Bottling,10000.0
United Arab Emirates,Smart Gas Service Llc,9766.91
United Arab Emirates,Dahabshiil Group Holdings Ltd,8078.81
United Arab Emirates,Hotline Trading L L C,7551.07
United Arab Emirates,Standard Technical Supply Llc,6585.0
United Arab Emirates,Europart Middle East Fzco,6140.0
United Arab Emirates,Juhua Trading Middle East Fze,4995.73
United Arab Emirates,Jc Valvulas (Me) Fzc,4286.12
United Arab Emirates,Hotline Electrical Trading L L C,4229.16
United Arab Emirates,T A G Middle East Fzc,4140.6
United Arab Emirates,Rotork Middle East Fze,3741.24
United Arab Emirates,Skm Airconditioning Llc,3337.66
United Arab Emirates,Emirates Industrial Gases Co L Lc,2971.66
United Arab Emirates,Excel Astra Engineering Construction Llc,2921.0
United Arab Emirates,Busch Vacuum Fze,2272.72
United Arab Emirates,Coaire International Fzc,1590.97
United Arab Emirates,Nils Abbas Trading Co L L C,1450.0
United Arab Emirates,Falcon Professional Kitchen Llc,1350.0
United Arab Emirates,Star Paper Mill Paper Industry Llc,1217.76
United Arab Emirates,Honeywell Middle East Fze,1200.0
United Arab Emirates,Itek Automation Fze,1115.63
United Arab Emirates,Brother Gas Bottling And Distribution Co Llc,1022.8
United Arab Emirates,Al Imran Ac Spare Parts Llc,998.67
United Arab Emirates,Brothers Gas Bottling And Distribution Co Llc,998.28
United Arab Emirates,Magma International Fzco,535.59
United Arab Emirates,Kj Auto Spare Parts Co Llc,489.6
United Arab Emirates,Al Taj Al Azraq Auto Spare Parts Llc,475.35
United Arab Emirates,Aasa Industries Fze,382.2
United Arab Emirates,Metrade International Fze,184.24
